persona_id,num_predictions,embedding_similarity,device_precision,device_recall,param_precision,param_recall,param_f1,numerical_precision,numerical_recall,numerical_f1,categorical_precision,categorical_recall,categorical_f1
persona_028,21,0.8323923,1.0,1.0,0.9761904761904762,1.0,0.984126984126984,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
persona_029,28,0.88562685,1.0,1.0,0.9285714285714286,1.0,0.9523809523809524,0.25,0.2857142857142857,0.2619047619047619,0.5357142857142857,0.5357142857142857,0.5357142857142857
persona_030,39,0.7815253,0.8589743589743589,0.8589743589743589,0.8376068376068375,0.8376068376068375,0.8273504273504273,0.28205128205128205,0.28205128205128205,0.28205128205128205,0.5,0.5,0.4957264957264957
persona_031,27,0.77425414,0.9259259259259259,0.9259259259259259,0.8888888888888888,0.8364197530864197,0.8440917107583774,0.37037037037037035,0.35185185185185186,0.35802469135802467,0.7407407407407407,0.691358024691358,0.7074074074074075
persona_032,29,0.76157254,0.9310344827586207,0.9310344827586207,0.7758620689655172,0.8333333333333333,0.7804597701149425,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.41379310344827586,0.41379310344827586,0.41379310344827586
persona_033,31,0.7858472,0.8709677419354839,0.8709677419354839,0.8333333333333333,0.8440860215053763,0.8268817204301075,0.22580645161290322,0.20967741935483872,0.2150537634408602,0.5,0.5161290322580645,0.5053763440860215
persona_034,42,0.87168366,0.9642857142857143,0.9523809523809523,0.9365079365079365,0.9126984126984128,0.9111111111111111,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.5714285714285714,0.5476190476190477,0.5515873015873016
persona_035,32,0.80701673,0.953125,0.96875,0.9375,0.953125,0.9375,0.265625,0.28125,0.2708333333333333,0.484375,0.5,0.4895833333333333
persona_036,22,0.7805984,0.9090909090909091,0.9090909090909091,0.8636363636363636,0.8787878787878788,0.8606060606060606,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.6136363636363636,0.5909090909090909,0.5909090909090909
persona_037,23,0.8059389,0.9565217391304348,0.9565217391304348,0.931159420289855,0.9347826086956522,0.9271221532091098,0.391304347826087,0.391304347826087,0.391304347826087,0.6231884057971014,0.6521739130434783,0.6347826086956522
persona_038,25,0.7663936,0.84,0.84,0.82,0.84,0.8266666666666665,0.36,0.36,0.36,0.46,0.48,0.4666666666666666
persona_039,28,0.8582463,0.8928571428571429,0.8928571428571429,0.8154761904761905,0.8571428571428571,0.8250000000000001,0.23214285714285715,0.25,0.23809523809523808,0.48214285714285715,0.5,0.4880952380952381
persona_040,32,0.8284718,0.96875,0.9375,0.9375,0.8645833333333333,0.8895833333333333,0.3125,0.296875,0.30208333333333337,0.359375,0.328125,0.33854166666666663
persona_041,29,0.83175135,1.0,1.0,0.9827586206896551,0.9540229885057471,0.9586206896551724,0.4482758620689655,0.43103448275862066,0.43678160919540227,0.7241379310344828,0.7241379310344828,0.7241379310344828
persona_042,26,0.8060823,0.9230769230769231,0.9230769230769231,0.875,0.8942307692307693,0.8814102564102563,0.34615384615384615,0.3269230769230769,0.3333333333333333,0.37179487179487175,0.38461538461538464,0.37692307692307697
persona_043,35,0.8473206,0.9285714285714286,0.919047619047619,0.9095238095238096,0.9261904761904761,0.9092517006802721,0.2857142857142857,0.2714285714285714,0.27619047619047615,0.6428571428571429,0.6428571428571429,0.638095238095238
