persona_id,num_predictions,embedding_similarity,device_precision,device_recall,param_precision,param_recall,param_f1,numerical_precision,numerical_recall,numerical_f1,categorical_precision,categorical_recall,categorical_f1
persona_015,26,0.6937314,0.8269230769230769,0.8653846153846154,0.7628205128205128,0.7051282051282051,0.7205128205128204,0.28846153846153844,0.3076923076923077,0.2948717948717949,0.4807692307692308,0.4423076923076923,0.45512820512820507
persona_016,24,0.6666956,0.8888888888888888,0.8958333333333334,0.8020833333333334,0.7638888888888888,0.7666666666666666,0.3541666666666667,0.3541666666666667,0.34722222222222215,0.625,0.6458333333333334,0.6319444444444444
persona_017,26,0.63900685,0.7692307692307693,0.75,0.7115384615384616,0.6826923076923077,0.6868131868131867,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.46153846153846156,0.41025641025641024,0.4282051282051282
persona_018,28,0.61434823,0.8214285714285714,0.875,0.7857142857142857,0.7797619047619049,0.7726190476190476,0.39285714285714285,0.4642857142857143,0.41666666666666663,0.4642857142857143,0.47619047619047616,0.4583333333333333
persona_019,28,0.6348488,0.7023809523809523,0.7142857142857143,0.6875,0.5952380952380951,0.623469387755102,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.32142857142857145,0.2857142857142857,0.29761904761904756
persona_020,29,0.58972764,0.8620689655172413,0.8620689655172413,0.8275862068965517,0.7816091954022988,0.7977011494252875,0.20689655172413793,0.20689655172413793,0.20689655172413793,0.39655172413793105,0.39655172413793105,0.3908045977011494
persona_021,28,0.627538,0.8809523809523808,0.8809523809523808,0.7345238095238095,0.6690476190476191,0.6806122448979591,0.19047619047619047,0.23214285714285715,0.19642857142857142,0.44642857142857145,0.41964285714285715,0.42857142857142855
persona_022,33,0.5916346,0.7121212121212122,0.7272727272727273,0.6818181818181818,0.5681818181818182,0.5966810966810967,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.3333333333333333,0.2727272727272727,0.2919191919191919
persona_023,44,0.64716953,0.7727272727272727,0.7651515151515151,0.7295454545454546,0.6545454545454545,0.6777777777777778,0.23863636363636365,0.22727272727272727,0.22727272727272724,0.4034090909090909,0.39204545454545453,0.395021645021645
persona_024,33,0.6310821,0.7878787878787878,0.7878787878787878,0.7575757575757576,0.7424242424242424,0.7316017316017316,0.09090909090909091,0.10606060606060606,0.08989898989898991,0.36363636363636365,0.32828282828282823,0.33838383838383834
persona_025,32,0.57051027,0.71875,0.71875,0.703125,0.5989583333333333,0.6364583333333333,0.15625,0.15625,0.15625,0.4375,0.3802083333333333,0.39999999999999997
persona_026,24,0.79493576,0.8472222222222222,0.875,0.85,0.8263888888888888,0.8285714285714286,0.6041666666666666,0.6041666666666666,0.5972222222222222,0.7083333333333334,0.6527777777777778,0.6722222222222222
persona_027,26,0.5502459,0.7692307692307693,0.75,0.7692307692307693,0.6730769230769231,0.7021978021978021,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.2692307692307692,0.23717948717948717,0.24871794871794872
persona_028,21,0.6489646,0.9523809523809523,1.0,0.9206349206349206,0.9126984126984126,0.8984126984126984,0.2857142857142857,0.2619047619047619,0.2698412698412698,0.5952380952380952,0.5952380952380952,0.5873015873015872
persona_029,28,0.6741834,0.8809523809523808,0.875,0.7559523809523808,0.744047619047619,0.7428571428571429,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.35714285714285715,0.3392857142857143,0.3452380952380953
persona_030,39,0.66267264,0.8205128205128205,0.8076923076923077,0.7948717948717948,0.7478632478632478,0.7641025641025642,0.1794871794871795,0.1794871794871795,0.1794871794871795,0.38461538461538464,0.3717948717948718,0.37606837606837606
persona_031,27,0.6394962,0.7592592592592593,0.7592592592592593,0.7314814814814815,0.6666666666666666,0.6742504409171076,0.2962962962962963,0.2777777777777778,0.2839506172839506,0.5802469135802469,0.5802469135802469,0.5641975308641975
persona_032,29,0.5564386,0.7241379310344828,0.7241379310344828,0.7241379310344828,0.6494252873563218,0.6758620689655173,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.3103448275862069,0.2528735632183908,0.27011494252873564
persona_033,31,0.69193876,0.8387096774193549,0.8225806451612904,0.7688172043010753,0.7526881720430108,0.7451612903225807,0.1935483870967742,0.1774193548387097,0.18279569892473116,0.41935483870967744,0.4032258064516129,0.40860215053763443
persona_034,42,0.76253074,0.8809523809523809,0.8809523809523809,0.8511904761904762,0.8055555555555556,0.8123582766439907,0.126984126984127,0.14285714285714285,0.13095238095238096,0.5119047619047619,0.47619047619047616,0.4841269841269841
persona_035,32,0.67138493,0.90625,0.890625,0.90625,0.8645833333333333,0.8791666666666667,0.25,0.234375,0.23958333333333331,0.40625,0.390625,0.3958333333333333
persona_036,22,0.6344974,0.7651515151515151,0.8181818181818182,0.6477272727272727,0.6174242424242423,0.6056277056277056,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.28030303030303033,0.2712121212121212
persona_037,23,0.58903676,0.7101449275362318,0.7391304347826086,0.7043478260869565,0.717391304347826,0.7080745341614907,0.30434782608695654,0.30434782608695654,0.30434782608695654,0.44565217391304346,0.4782608695652174,0.45217391304347826
persona_038,25,0.58198893,0.72,0.76,0.6633333333333333,0.6866666666666665,0.6596190476190474,0.28,0.28,0.28,0.38,0.42,0.38666666666666666
persona_039,28,0.62315446,0.8571428571428571,0.8571428571428571,0.8035714285714286,0.7678571428571429,0.7738095238095237,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.4107142857142857,0.42857142857142855,0.41666666666666663
persona_040,32,0.58461213,0.78125,0.8125,0.6302083333333333,0.6354166666666666,0.63125,0.125,0.125,0.125,0.1875,0.234375,0.203125
persona_041,29,0.66129506,0.7241379310344828,0.7068965517241379,0.6850574712643678,0.6005747126436781,0.624904214559387,0.22413793103448276,0.2413793103448276,0.22988505747126434,0.5172413793103449,0.47701149425287354,0.48505747126436777
persona_042,26,0.616162,0.6987179487179487,0.7307692307692307,0.6705128205128206,0.6955128205128205,0.6666666666666666,0.17307692307692307,0.19230769230769232,0.17948717948717946,0.23717948717948717,0.2564102564102564,0.24358974358974358
persona_043,35,0.6910126,0.8642857142857143,0.8476190476190476,0.8352380952380951,0.8142857142857143,0.8158152958152959,0.21904761904761902,0.2571428571428571,0.23238095238095235,0.5142857142857142,0.5,0.5047619047619047
persona_044,34,0.59762484,0.8823529411764706,0.8823529411764706,0.8431372549019607,0.8235294117647058,0.8225490196078432,0.11764705882352941,0.14705882352941177,0.12745098039215685,0.3235294117647059,0.3235294117647059,0.3235294117647059
persona_045,25,0.6517566,0.8,0.82,0.78,0.7933333333333333,0.772,0.2,0.2,0.2,0.36,0.4,0.3733333333333333
persona_046,31,0.5881851,0.7043010752688171,0.7096774193548387,0.6559139784946236,0.6559139784946236,0.6485407066052227,0.22580645161290322,0.24193548387096775,0.22580645161290322,0.3602150537634408,0.3548387096774194,0.35376344086021505
persona_047,31,0.56444424,0.6129032258064516,0.6290322580645161,0.6021505376344085,0.5913978494623655,0.5849462365591399,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.25806451612903225,0.26881720430107525,0.25268817204301075
persona_048,27,0.6884849,0.8333333333333334,0.8333333333333334,0.7407407407407407,0.7098765432098765,0.7095238095238096,0.42592592592592593,0.42592592592592593,0.41975308641975306,0.5185185185185185,0.5,0.4925925925925925
